Gene Symbol,Relevance score
TYR,19
EGOT,18.9
GALNT12,18.87
NNT-AS1,18.86
HPR,18.82
IRF1,18.81
IL4,18.8
NORAD,18.77
IL7,18.7
IGFBP2,18.7
NKILA,18.68
XPA,18.66
SST,18.62
HOXA-AS2,18.62
TP73-AS1,18.61
WRAP53,18.57
LINC00472,18.57
MIR184,18.55
KIF15,18.55
STAT5A,18.5
CALR,18.48
NR0B1,18.48
TPD52L2,18.38
EBAG9,18.36
HLA-A,18.35
LINC00511,18.33
ACTB,18.32
CERNA2,18.3
NTHL1,18.27
IFNA2,18.26
BDNF,18.26
MIR663A,18.25
HIF1A-AS2,18.19
TUBB,18.18
MAP3K6,18.09
CD40,18.09
FANCM,18.09
IFNA1,18.05
MIRLET7F1,17.98
EIF3A,17.96
CHD7,17.91
PSCA,17.81
CLU,17.79
LEPR,17.76
SERPINA3,17.76
IKBKG,17.74
MIR202,17.69
RUNX2,17.67
ERCC5,17.66
IRAIN,17.62
CALCA,17.57
SERPINA1,17.57
TBX3,17.56
MUC5AC,17.49
NBAT1,17.49
FBXO11,17.4
BCL10,17.38
DRAIC,17.31
EPHA2,17.3
PRSS1,17.27
MVP,17.26
KMT2A,17.24
CDC6,17.24
EPB41L4A-DT,17.22
ADH1B,17.19
DAPK1,17.15
DNMT3A,17.13
TUNAR,17.11
CYP2E1,17.11
MT-ND6,17.07
PRC1,17.06
MIR181C,17.05
DLEC1,17.04
SRY,17.02
SOD1,16.99
KISS1R,16.99
ARID1A,16.95
IL1A,16.9
MSLN,16.88
CD36,16.86
DLC1,16.81
KRT17,16.79
SNHG7,16.79
PXN,16.79
EDN1,16.79
VWF,16.77
MNX1-AS1,16.74
TH2LCRR,16.73
WT1-AS,16.72
MUC2,16.65
ELAVL1,16.63
MIR376A1,16.63
TNFRSF1B,16.62
ITGAV,16.59
RUNX3,16.55
F3,16.54
DSCAM-AS1,16.49
MIR130A,16.44
CCL5,16.43
RECQL,16.38
ZFHX3,16.37
MIR136,16.36
IGFBP1,16.32
DDB2,16.28
LINP1,16.28
CHUK,16.24
LHCGR,16.22
LINC00628,16.18
MAD1L1,16.11
ABL1,16.05
PKM,16.04
DLEU1,16.03
GAST,16.02
LINC00052,16
MT-CO1,15.99
LINC00901,15.89
CASC22,15.86
MIR181D,15.86
RMST,15.84
MIR377,15.79
CCDC26,15.77
MIR148B,15.74
LINC01116,15.74
ZNF667-AS1,15.74
LINC00993,15.72
CLDND1,15.7
SETBP1,15.7
ENSG00000179253,15.64
CDH23,15.62
MIR132,15.61
SDHA,15.58
BCR,15.58
NOD2,15.57
HLA-B,15.53
MAGI2-AS3,15.49
SNAI1,15.48
FANCD2,15.45
MIRLET7F2,15.45
PTGS1,15.44
CD34,15.41
PROM1,15.4
DPP10-AS1,15.4
EPHB2,15.4
S100B,15.39
LINC01016,15.36
MAPT,15.35
FSCN1,15.32
EFNA3,15.31
SPRY4,15.29
CEACAM3,15.28
MIR2052HG,15.27
SRD5A1,15.27
LINC01234,15.25
IKBKB,15.25
AMHR2,15.24
FOXCUT,15.23
FOXC2-AS1,15.2
GLI3,15.18
SSTR2,15.16
MYD88,15.14
KRT10,15.14
LINC00574,15.13
MIR134,15.12
RNASEL,15.12
CDKN2C,15.11
EPO,15.11
LINC01671,15.11
MIR199A1,15.08
LINC00160,15.08
IL5,15.08
NOTCH2,15.08
KMT2D,15.08
OR3A4P,15.06
MANCR,15.06
LINC01089,15.05
LINC00598,15.04
ILK,15.03
LINC02099,15.02
FGF17,15.02
PTPRF,15.02
FGF14-AS2,15
MIR346,14.95
ADH1C,14.93
CD28,14.92
LINC00520,14.92
NR1H2,14.86
FLNA,14.86
LINC00958,14.86
ERVH48-1,14.82
HULC,14.8
MIR495,14.78
CD4,14.77
NCAM1,14.77
IL17A,14.76
HMMR-AS1,14.75
TERC,14.75
IL24,14.74
FOXM1,14.69
HLA-G,14.63
PTPRG-AS1,14.62
MIR376C,14.6
AFAP1-AS1,14.58
FANCC,14.58
CFTR,14.54
CLDN4,14.53
DIABLO,14.51
MIR125B1,14.49
LINC00339,14.42
INHA,14.4
CRP,14.37
BCL2L11,14.36
DUSP6,14.33
LIN28B,14.31
BGLAP,14.28
JADRR,14.26
MIR486-1,14.26
ST8SIA6-AS1,14.24
CCKBR,14.21
FOLH1,14.21
PROX1,14.2
HSD11B2,14.2
FEZF1,14.2
LOC111589215,14.2
MAP2K4,14.19
IFNB1,14.14
RECQL4,14.14
KCNK15-AS1,14.13
ATF1,14.11
STXBP5-AS1,14.05
PDGFB,14.04
ANXA2,14
MIR483,13.99
MIR139,13.98
HPRT1,13.97
EZR,13.97
ALPP,13.96
LINC00636,13.92
ALDH2,13.92
PINK1-AS,13.92
RASSF1-AS1,13.92
ADARB2-AS1,13.91
ANGPT2,13.89
IL6R,13.88
TTR,13.88
KLF3-AS1,13.88
PDCD4-AS1,13.88
LINC01405,13.88
IGKV@,13.88
LINC02130,13.88
ENSG00000229282,13.88
PKD1P6-NPIPP1,13.88
ENSG00000235584,13.88
ENSG00000279217,13.88
RECK,13.85
BAD,13.85
CCL3,13.83
PPP2R1B,13.81
JAK1,13.81
BIRC2,13.78
G6PD,13.77
BCL6,13.77
MIRLET7B,13.73
HDAC9,13.73
B2M,13.72
SOS1,13.72
VTN,13.67
MIR26B,13.66
AXIN1,13.63
MSMB,13.63
KLK6,13.58
KEAP1,13.54
FOXP1,13.51
PPP2R1A,13.47
NGFR,13.43
S100A8,13.42
TCF4,13.42
SMARCE1,13.42
CCR7,13.38
COL14A1,13.36
GH1,13.36
VCP,13.36
BUB1,13.35
NES,13.34
RRM1,13.33
FSHB,13.3
ERG,13.3
BCAS2,13.26
HP,13.26
LEF1,13.2
TF,13.2
RETN,13.19
PRF1,13.15
SIRT1,13.13
SATB1,13.12
IBSP,13.11
DSP,13.1
AMACR,13.1
BMP2,13.1
MIR432,13.09
KLK4,13.08
FGF23,13.06
POU1F1,13.03
CISH,13.01
JAK3,13
WNT6,12.95
LDHA,12.92
NAT1,12.91
PDPN,12.88
AFP,12.85
WFDC2,12.84
FBN1,12.83
MTAP,12.82
S100A6,12.81
SLPI,12.8
SOX4,12.8
NTS,12.79
CADM1,12.74
APEX1,12.72
ACD,12.72
SRGAP1,12.72
SLC6A4,12.71
OVCAS1,12.7
ANTXR1,12.69
ARSH,12.68
DKC1,12.66
MIR93,12.65
PML,12.64
SPARC,12.63
HSPA5,12.61
ELAC2,12.6
REST,12.6
LTF,12.56
IL3,12.56
RASGRP1,12.55
COL1A1,12.54
PECAM1,12.54
VIP,12.51
PTH1R,12.49
FOXO3,12.49
POU5F1,12.48
ANOS1,12.47
SPDEF,12.43
DCK,12.43
RAB25,12.39
CGA,12.38
NOTCH3,12.38
GHR,12.37
F2,12.37
MAGEA1,12.37
PTCH2,12.36
CD24,12.33
MIR337,12.33
PRC1-AS1,12.31
SMARCA2,12.3
NSD2,12.28
UCHL1,12.27
HMOX1,12.27
F8,12.26
TNFRSF11B,12.24
UHRF1,12.23
PDCD4,12.22
FADD,12.18
NOS3,12.17
CD82,12.17
PROKR2,12.16
LYVE1,12.15
KDM1A,12.12
LRP5,12.08
GZMB,12.06
AZGP1,12.06
POSTN,12.05
CLDN3,12.03
ZEB2,12
MYH11,12
PROK2,11.97
SCGB2A1,11.97
MYLK,11.95
PORCN,11.95
ADAM12,11.94
MAGEA4,11.93
APOE,11.92
FOXL2,11.91
CCL11,11.9
KLK7,11.89
MYCN,11.88
PTTG1,11.87
ADAR,11.86
CYLD,11.86
MIR657,11.85
FAP,11.84
MAP2K2,11.82
KLF4,11.81
CYP3A4,11.8
MIR24-1,11.8
GNA11,11.79
GATA4,11.79
MIR376B,11.77
CTNND1,11.76
MIR26A1,11.76
CR2,11.75
PRKAA2,11.73
AMH,11.73
IL7R,11.71
MIR137,11.7
DDR2,11.69
COL1A2,11.68
MIR494,11.67
MYB,11.67
GRHL2,11.66
TWIST2,11.66
AAGAB,11.66
CXCR3,11.65
HAGLR,11.64
PAX6,11.62
GGT1,11.61
MS4A1,11.58
S100A2,11.57
MIR192,11.56
GHET1,11.56
HMGB1,11.55
ROCK1,11.54
URI1,11.54
RUNX1,11.52
MALT1,11.52
LPAR1,11.52
GDF15,11.51
CASR,11.51
EIF4EBP1,11.49
SHH,11.47
PSG2,11.47
IGF2BP3,11.46
CALB2,11.46
PSEN2,11.45
HSPA4,11.44
EML4,11.43
USP9X,11.43
INSL3,11.43
NGF,11.41
PSMC3IP,11.41
ABCC11,11.39
SLC29A1,11.38
TERF2IP,11.38
PAX8,11.36
MFAP5,11.34
FOLR1,11.34
GNAQ,11.31
LIG4,11.31
MBL2,11.28
NSMF,11.28
FNDC8,11.26
MIRLET7A1,11.25
CYP11A1,11.23
XRCC5,11.23
WNT3,11.19
IL13,11.17
MIR181B2,11.16
TFE3,11.16
ETV1,11.15
RRM2,11.15
COL18A1,11.14
TAC3,11.12
MAX,11.12
TUBB3,11.12
NCOR1,11.1
AIMP2,11.09
HLA-DQB1,11.09
AURKB,11.08
LINC00673,11.07
KLF5,11.05
LOX,11.04
BID,11.04
CYP2A6,11.04
EWSR1,11.03
TET2,11.03
MYCL,11.03
DHFR,11.02
EHBP1,11.02
REV3L,11.02
CYP1A2,11
CXCL10,10.99
TACR3,10.97
CDC45,10.96
OXT,10.96
KLK5,10.96
RALA,10.93
HABP2,10.93
LALBA,10.91
WNT2B,10.9
TLR9,10.89
ACPP,10.89
EI24,10.88
L1CAM,10.85
OCA2,10.85
POLK,10.84
TNFRSF11A,10.84
ARID1B,10.84
BMP4,10.84
ACVR1B,10.83
LZTR1,10.82
PTPRG,10.81
HDAC6,10.8
LPAR3,10.79
HSPD1,10.78
MIR498,10.77
CCK,10.77
MIR212,10.73
PRKAA1,10.71
HSPB8,10.69
EGR1,10.69
SERPINB2,10.68
FMR1,10.67
GNRH2,10.66
CCR5,10.65
JUP,10.64
CDT1,10.6
F13A1,10.59
CD79A,10.58
SULT1A1,10.56
PAEP,10.55
MIR374A,10.54
APC2,10.54
MXI1,10.53
IL6ST,10.51
ACP1,10.49
TNFRSF6B,10.48
EDA,10.48
F10,10.48
GREB1L,10.47
PIN1,10.46
FOXP2,10.45
DKK1,10.45
RAD21,10.44
DAB2,10.44
FANCA,10.43
KAT6B,10.42
TNFRSF1A,10.4
PDPK1,10.4
MYOD1,10.39
TMPRSS2,10.39
MAGEA3,10.36
CLPTM1L,10.36
CTSK,10.35
LUCAT1,10.34
ATAD2,10.34
PAWR,10.32
PLAT,10.32
MIR133B,10.31
ENPP1,10.29
CDC73,10.29
PIK3R2,10.29
MIR92A2,10.28
DPP4,10.28
ITGA3,10.27
HNF4A,10.26
SPIN1,10.26
TXN,10.26
MIR345,10.25
SELE,10.24
BLACAT1,10.2
DAB2IP,10.18
CCR6,10.17
MIR4728,10.16
IL18,10.15
CDC25C,10.14
U2AF1,10.14
SNHG12,10.14
HNF1A-AS1,10.13
PIK3R3,10.13
HLA-DRB1,10.12
CDH13,10.12
AVP,10.11
HTR2A,10.11
FOXE1,10.11
AGTR1,10.1
HPSE,10.08
YY1,10.07
ETV5,10.07
SUFU,10.07
NTRK2,10.05
CEBPA,10.04
ACTA2,10.04
KCTD1,10.03
KLK8,10.03
THPO,10.03
BMP15,10.02
PROS1,10.02
MIR185,10.01
DIRAS3,10.01
ANK1,10
CDKN1C,9.99
LZTS1,9.99
IL15,9.97
MB,9.95
HMGA1,9.95
CD86,9.94
NCOA2,9.93
SOX3,9.92
CHRNA5,9.92
S100A9,9.91
WNT4,9.9
KLF10,9.9
LTA,9.89
F5,9.89
TTN,9.87
MIR361,9.87
WWTR1,9.86
SLC6A3,9.86
SNHG20,9.84
EFNB1,9.84
SQSTM1,9.84
PLCG1,9.82
FLNB,9.81
EEF1A2,9.81
MT-ND3,9.8
SEMA4A,9.79
CEBPB,9.77
MIR211,9.77
EXT1,9.77
EPAS1,9.77
MIR92A1,9.77
CP,9.77
CXCR5,9.76
CTSL,9.76
RAG1,9.74
POLH,9.73
EPB41L3,9.72
MDM4,9.72
XDH,9.71
BCOR,9.7
ACE,9.7
ELANE,9.7
GPR101,9.69
CIB1,9.68
CEACAM7,9.68
DMD,9.68
TFG,9.66
FABP4,9.65
HELLS,9.64
CLEC3B,9.64
CA2,9.64
TBX5,9.63
LCN2,9.62
PKD1,9.61
FKTN,9.6
PSEN1,9.6
TBX1,9.6
HDAC2,9.58
EPSTI1,9.58
SLC5A5,9.58
ERCC8,9.57
CDKN2D,9.56
MACC1,9.56
CEMIP,9.56
HSD17B3,9.55
ELF3,9.55
POLB,9.54
MIR605,9.53
LCT,9.53
FEN1,9.51
AMBP,9.51
SRARP,9.49
HOXA11,9.49
LAMC2,9.48
SPTAN1,9.48
MRPS22,9.48
IRS2,9.47
CTAG2,9.46
PHF7,9.46
PCAT1,9.45
GACAT3,9.45
RCVRN,9.43
PROP1,9.43
GHRL,9.43
CGB3,9.43
AKR1C3,9.43
SERPINC1,9.41
KLK2,9.41
GSTM3,9.39
EXO1,9.39
IL11,9.38
KLRK1,9.38
MTUS1,9.37
GRIN2B,9.37
DRD2,9.37
SSTR5,9.37
MT-ND4,9.36
CGB5,9.36
A2M,9.36
APOA1,9.35
MIR190A,9.35
C11orf95,9.34
IL32,9.34
RAPH1,9.34
RPS6KB2,9.31
ATP2A2,9.31
PAX2,9.31
COL11A1,9.3
S100A1,9.29
LGALS1,9.29
MAF,9.29
RRAS,9.28
TKT,9.28
SOCS1,9.27
KLK15,9.26
E2F4,9.26
NEU1,9.25
ANPEP,9.25
ENO1,9.24
TYRP1,9.23
LINC00261,9.22
NUPR1,9.21
PENK,9.21
FILIP1L,9.2
PCA3,9.2
TNC,9.18
GRPR,9.18
PRUNE2,9.18
GPNMB,9.17
PDGFRL,9.17
MIR31HG,9.16
MUC6,9.16
TGM1,9.14
HSPA8,9.14
OLFM4,9.14
EPHX1,9.14
SH2D1A,9.13
CD68,9.13
PER1,9.12
TRPV6,9.12
TFF3,9.12
FUT3,9.12
MIR381,9.12
SSTR1,9.11
HIC1,9.11
MIR608,9.1
ACCS,9.09
HMGCR,9.08
FENDRR,9.07
NUP214,9.06
IGH,9.06
PIM1,9.06
CHRNA3,9.05
MSN,9.05
WNT2,9.03
STIM1,9.03
PRKCE,9.03
NDRG1,9.02
