,gene1,gene2,weight
400,PEA15,MAPK1,1
401,HFE,TFRC,1
402,EGFR,KRAS,1
403,CCNA2,CCNB1,1
404,HRAS,PIK3CG,1
405,F8,VWF,1
406,CASP8,CFLAR,1
407,BCL2L1,BAX,1
408,RELA,NFKBIA,1
409,IL4R,IL13,1
410,IL7R,IL7,1
411,CXCR4,CXCL12,1
412,BMPR1A,BMP4,1
413,RXRA,RARA,1
414,CCNB1,CDKN1B,1
415,GDNF,RET,1
416,NCOR1,RARA,1
417,PLAUR,VTN,1
418,AURKB,CCNB1,1
419,APAF1,CYCS,1
420,CHEK2,TP53BP1,1
421,PSEN1,APP,1
422,DUSP6,MAPK1,1
423,INS,IGF1R,1
424,AKT1,FOXO1,1
425,HSPA5,CALR,1
426,BRCA1,BARD1,1
427,BIRC5,MAD2L1,1
428,THBD,F2,1
429,JUN,MAPK10,1
430,CASP1,IL18,1
431,MAD2L1,CCNB1,1
432,F5,F2,1
433,BIRC5,AURKA,1
434,HIF1A,CREBBP,1
435,CASP8,RIPK1,1
436,EXO1,BLM,1
437,FANCD2,ATM,1
438,DKK1,LRP6,1
439,CHEK2,TP53,1
440,RALBP1,RALA,1
441,CASP9,CYCS,1
442,NRG1,ERBB4,1
443,MDC1,ATM,1
444,PPARG,CREBBP,1
445,AURKB,BIRC5,1
446,BUB1B,CCNB1,1
447,SOD2,CAT,1
448,CCK,CCKBR,1
449,HNRNPK,HNRNPA2B1,1
450,JAK2,STAT3,1
451,SOD2,SOD1,1
452,EGFR,STAT3,1
453,NCOA2,NR3C1,1
454,PSEN2,PSEN1,1
455,FGFR2,PLCG1,1
456,PTPN1,INSR,1
457,NGF,NGFR,1
458,PIK3CA,KRAS,1
459,MTOR,TSC2,1
460,XRCC4,XRCC6,1
461,BCL2L11,MCL1,1
462,TNFRSF11A,TNFSF11,1
463,IGF1,IGFBP2,1
464,AURKB,MAD2L1,1
465,PDGFB,PDGFRB,1
466,CDK1,BIRC5,1
467,DNMT1,DNMT3B,1
468,CDK1,CDC25A,1
469,APAF1,CASP3,1
470,EGFR,EREG,1
471,NCOA1,PPARG,1
472,MAD2L1,CCNB2,1
473,FASLG,FADD,1
474,RNF43,RSPO1,1
475,HIF1A,EP300,1
476,RAP1A,RAF1,1
477,PLK1,BUB1B,1
478,TGFBR2,TGFB3,1
479,BRCA1,BRCA2,1
480,FGFR1,FGF2,1
481,JAK2,STAT1,1
482,CHEK2,CDC25C,1
483,CDC45,CHEK1,1
484,FGFR2,FGF2,1
485,POLD1,PCNA,1
486,CDC25A,CCNB1,1
487,FGFR2,FGF10,1
488,CDK1,PLK1,1
489,AKT1,HSP90AA1,1
490,RAD51,BLM,1
491,TP73,MDM2,1
492,TGFA,EGFR,1
493,PLK1,MAD2L1,1
494,PLK1,AURKA,1
495,NRP1,KDR,1
496,NFE2L2,KEAP1,1
497,EGFR,CBL,1
498,PLK1,CCNB2,1
499,CDT1,CCNA2,1
500,ATM,NBN,1
501,BDNF,NTRK2,1
502,NCOA2,PPARG,1
503,HDAC1,RBBP4,1
504,SMARCE1,SMARCB1,1
505,FASLG,FAS,1
506,AKT1,PIK3CA,1
507,LIG4,ATM,1
508,NTRK1,SHC1,1
509,IGFBP3,IGF1,1
510,BAK1,BCL2L1,1
511,WNT1,LRP6,1
512,CHUK,NFKBIA,1
513,MDM4,MDM2,1
514,IKBKG,CHUK,1
515,PMS2,MSH3,1
516,PRC1,PLK1,1
517,SHC1,EGFR,1
518,SYK,PLCG1,1
519,HRAS,EGFR,1
520,ARID1B,SMARCA2,1
521,RPS27,EEF1A1,1
522,CBFB,RUNX1,1
523,F2R,F2,1
524,TP53BP1,MDC1,1
525,YAP1,SMAD7,1
526,WEE1,CDK1,1
527,MT-CYB,CYCS,1
528,SRC,FYN,1
529,FASLG,CASP8,1
530,EZR,SLC9A3R1,1
531,HLA-DQB1,HLA-DQA1,1
532,PIK3CB,PIK3R2,1
533,NCOA4,AR,1
534,CUL1,FBXW7,1
535,TCF7L2,CTNNB1,1
536,CDK1,AURKB,1
537,VTN,SERPINE1,1
538,LEPR,LEP,1
539,BIRC2,DIABLO,1
540,DIABLO,XIAP,1
541,CTNNB1,GSK3B,1
542,B2M,HLA-G,1
543,SKI,SMAD4,1
544,TRAF6,TLR4,1
545,EXO1,MLH1,1
546,FGF1,FGFR1,1
547,GAS6,AXL,1
548,CHEK1,CDC25C,1
549,TSC1,RHEB,1
550,RPSA,EEF1A1,1
551,PLG,SERPINE1,1
552,AKT1,TSC2,1
553,HSPA8,BAG1,1
554,HSP90AA1,HSPA4,1
555,NCOA1,RARB,1
556,MT-ND4,MT-CO1,1
557,AKT1,INS,1
558,MT-ND3,MT-CYB,1
559,IGF2,IGFBP2,1
560,FOXM1,PLK1,1
561,EXO1,ATM,1
562,ECT2,PLK1,1
563,BCL6,BCOR,1
564,SMAD4,SMAD2,1
565,RAD51,EXO1,1
566,TOP2A,TPX2,1
567,AKT1,VHL,1
568,RBBP4,EZH2,1
569,KRT8,KRT18,1
570,CDH1,SNAI1,1
571,BRCA2,FANCD2,1
572,ESR1,NCOA1,1
573,SSTR2,SST,1
574,ZEB1,CDH1,1
575,FOXM1,CCNB1,1
576,IGF2,IGFBP6,1
577,CDKN1A,CDK1,1
578,CDKN2B,CDK4,1
579,HMMR,TPX2,1
580,CDK4,CDKN1B,1
581,CCNB2,BUB1B,1
582,ARID1A,SMARCA2,1
583,CDK1,FOXM1,1
584,CCK,CCKAR,1
585,PTTG1,AURKA,1
586,CASP2,BCL2L1,1
587,IL10,IL6,1
588,INSR,IGF1,1
589,AR,KLK3,1
590,CXCR2,CXCL8,1
591,CXCR3,CXCL10,1
592,IL10,TNF,1
593,MSH2,ERCC1,1
594,RBBP8,ATM,1
595,CDH5,KDR,1
596,NRG1,ERBB3,1
597,FANCA,FANCD2,1
598,FOXP3,IL2,1
599,PCNA,MSH2,1
600,STAT1,JAK1,1
601,RPS20,EEF1A1,1
602,ARID1B,SMARCE1,1
603,GRPR,GRP,1
604,IRS1,IGF1R,1
605,XRCC5,ATM,1
606,BRCA1,RAD51,1
607,JAK3,STAT5B,1
608,EPHA1,EFNB1,1
609,EPHB2,EFNB1,1
610,GLI3,SUFU,1
611,JAK3,STAT5A,1
612,SH2D1A,FYN,1
613,PIK3CB,PIK3R3,1
614,CDKN2C,CDK4,1
615,POLD1,RPA1,1
616,TP53BP1,XRCC6,1
617,CDK1,PCNA,1
618,HDAC2,RBBP4,1
619,CDK1,TPX2,1
620,TP53BP1,TP53,1
621,ELANE,SLPI,1
622,PRKAR1A,PRKACB,1
623,RXRA,PPARG,1
624,IKBKB,RELA,1
625,RXRA,NCOA2,1
626,PCNA,MCM4,1
627,ITGB3,SHC1,1
628,TAC3,TACR3,1
629,TOP2A,TOP1,1
630,SMARCE1,ARID1A,1
631,CDKN2A,CDK6,1
632,IL6,STAT3,1
633,CYP1A1,AHR,1
634,MT-ND4,MT-CO2,1
635,GRB2,SOS2,1
636,CCL4,CCR5,1
637,MMP14,TIMP2,1
638,CHEK1,EXO1,1
639,SMARCA4,ARID1B,1
640,KISS1,KISS1R,1
641,JAK1,STAT3,1
642,IKBKG,NFKBIA,1
643,TGFBR1,SMAD2,1
644,IL1B,IL1A,1
645,ARID1B,SMARCB1,1
646,STAT6,IL4,1
647,GNRH1,GNRHR,1
648,IGF2,IGF1R,1
649,INS,IRS1,1
650,SHC1,CD247,1
651,CCR2,CCL2,1
652,RSPO1,LGR5,1
653,PTCH1,IHH,1
654,EXO1,PMS2,1
655,BCL2,BCL2L11,1
656,LRP5,AXIN1,1
657,SMARCE1,SMARCA2,1
658,IL6,IL6ST,1
659,MMP9,TIMP1,1
660,CCKBR,GAST,1
661,MAPK8,MAPK8IP1,1
662,XIAP,CASP2,1
663,GTF2H5,POLR2L,1
664,PIK3CA,PIK3R3,1
665,SMAD4,SMAD3,1
666,CDK1,BUB3,1
667,TYMS,TK1,1
668,POMC,CRH,1
669,CHEK2,CDC25A,1
670,SOX2,NANOG,1
671,NTHL1,APEX1,1
672,PCNA,POLE,1
673,TGFBR2,TGFB1,1
674,AKT1,CTNNB1,1
675,ARID1A,SMARCB1,1
676,E2F4,RBL2,1
677,HRAS,BRAF,1
678,TP53,CDK2,1
679,FOXP3,CTLA4,1
680,BRAF,KRAS,1
681,MYD88,TLR3,1
682,RXRA,NCOR2,1
683,CREB1,EP300,1
684,CDKN2A,TP53,1
685,LTA,TNFRSF1A,1
686,RXRA,NCOA1,1
687,MICA,KLRK1,1
688,COX5A,CYCS,1
689,BUB1,CCNB1,1
690,MT-CO2,CYCS,1
691,F10,SERPINC1,1
692,AURKB,PLK1,1
693,PTEN,TP53,1
694,CD28,CD80,1
695,CDC25C,PLK1,1
696,EFNA3,EPHA1,1
697,BDNF,NGFR,1
698,DVL1,AXIN1,1
699,JUN,MAPK1,1
700,JAK1,STAT5A,1
701,SPINT1,ST14,1
702,CDC25A,CDK2,1
703,BCL2L11,BAK1,1
704,AKT1,EIF4EBP1,1
705,HIPK2,TP53,1
706,GLI2,SHH,1
707,GHR,GH1,1
708,FANCD2,FANCM,1
709,TGFBR1,SMAD3,1
710,CDKN1A,CDK6,1
711,NRAS,RAF1,1
712,POLD1,MSH2,1
713,BIRC2,TNF,1
714,CHEK1,CDC6,1
715,CDK6,CCND2,1
716,MYC,CDKN1A,1
717,TP53,SIRT1,1
718,CDK1,CDC25B,1
719,IRS1,RPS6KB1,1
720,PTPN11,EGFR,1
721,SRC,PXN,1
722,SOD1,CAT,1
723,POLD1,MSH6,1
724,TGFBR1,TGFB1,1
725,CTNNB1,AXIN2,1
726,MTR,MTRR,1
727,BIRC5,BUB1B,1
728,KDM6A,KMT2D,1
729,LIN28A,POU5F1,1
730,GNB1,RHO,1
731,GRB2,GAB1,1
732,PMAIP1,BCL2L1,1
733,HDAC1,EZH2,1
734,FBXW7,RBX1,1
735,UHRF1,DNMT1,1
736,IL6,IL4,1
737,POLE,MCM4,1
738,ACACA,FASN,1
739,JAK1,STAT5B,1
740,NFE2L2,HMOX1,1
741,CXCR3,CXCL9,1
742,TLR4,HMGB1,1
743,HRAS,RASA1,1
744,CSNK1D,PER2,1
745,IKBKG,RELA,1
746,ERCC5,ERCC1,1
747,CXCL8,CXCR1,1
748,APAF1,BCL2L1,1
749,IKBKG,CYLD,1
750,FANCD2,FANCE,1
751,KLF4,SOX2,1
752,APOE,APOB,1
753,RAD21,NIPBL,1
754,AGT,ACE,1
755,B2M,CD1D,1
756,AXIN1,LRP6,1
757,CFLAR,FADD,1
758,XIAP,CASP7,1
759,PTEN,PIK3CA,1
760,AGER,HMGB1,1
761,CD86,CD28,1
762,LDLR,APOE,1
763,IGF2,IGFBP3,1
764,FGFR1,FGF23,1
765,FANCC,FANCD2,1
766,CCND2,CDKN1B,1
767,KLF4,NANOG,1
768,SNAI2,CDH1,1
769,NRAS,KRAS,1
770,IL10,IL1B,1
771,DUSP6,MAPK3,1
772,FGFR1,FGF9,1
773,MT-CO1,COX5A,1
774,TOP2A,CDK1,1
775,FOS,EGR1,1
776,ERBB2,EGF,1
777,AGTR1,AGT,1
778,CASP1,IL1B,1
779,CYCS,BCL2L1,1
780,EP300,TCF3,1
781,CDKN1B,CCND1,1
782,MCL1,BAX,1
783,BRCA1,TP53,1
784,CHEK1,MCM4,1
785,IL10,CXCL8,1
786,BCL2,CASP8,1
787,HSF1,HSP90AA1,1
788,LDLR,APOB,1
789,GHRH,GHRHR,1
790,BRCA2,RAD51C,1
791,BIRC2,CASP8,1
792,EXO1,WRN,1
793,DNMT1,DNMT3A,1
794,BIRC5,CCNB1,1
795,XRCC4,XRCC5,1
796,MCM3,PCNA,1
797,CBFB,RUNX3,1
798,BRCA1,PALB2,1
799,CUL4A,DDB2,1
800,PTPN11,MAPK3,1
801,RBBP8,BARD1,1
802,BCAR1,SRC,1
803,FOXM1,CCNA2,1
804,VEGFA,HIF1A,1
805,EXO1,RAD52,1
806,CTNNB1,CDH3,1
807,FANCG,FANCD2,1
808,KIF15,TPX2,1
809,RAD51,BARD1,1
810,BUB1,BIRC5,1
811,RB1,E2F3,1
812,XRCC3,XRCC2,1
813,STK4,RASSF1,1
814,JUN,MAPK3,1
815,OGG1,APEX1,1
816,TPX2,PLK1,1
817,PLXND1,SEMA3E,1
818,HDAC2,MTA1,1
819,MSN,SLC9A3R1,1
820,EGFR,CDH1,1
821,FLT1,NRP1,1
822,FOSL1,JUNB,1
823,BCL2L11,BAX,1
824,RAD52,BLM,1
825,BCL2,CASP2,1
826,SRC,STAT3,1
827,FN1,ITGAV,1
828,EXO1,ATR,1
829,SOCS3,STAT3,1
830,MT-ND6,MT-CYB,1
831,ELANE,MPO,1
832,CTTN,SRC,1
833,EXO1,MSH3,1
834,GNB1,GNA11,1
835,UCHL1,RPS27A,1
836,CSF2,IL3,1
837,CTNNB1,WNT3A,1
838,MTHFR,MTR,1
839,CCNE2,CDKN1A,1
840,XRCC6,SIRT1,1
841,SSTR5,SST,1
842,TBL1XR1,NCOR2,1
843,CXCR5,CXCL13,1
844,IGF2,IGFBP5,1
845,AKT1,CDKN1A,1
846,IKBKE,TRAF3,1
847,CDK6,CDKN1B,1
848,ALDOA,GAPDH,1
849,VEGFA,NRP1,1
850,RAD51,ATM,1
851,POT1,TERF2IP,1
852,RXRA,THRB,1
853,CDKN1C,CDK2,1
854,KRAS,RAF1,1
855,BCAR1,PTK2,1
856,CCNE2,CDKN1B,1
857,TP53,AURKA,1
858,NRAS,BRAF,1
859,PDPK1,RPS6KB1,1
860,WRN,ATM,1
861,FADD,TNFRSF10B,1
862,TGFBR1,TGFBR2,1
863,E2F4,RB1,1
864,APP,APOE,1
865,FOXO3,EP300,1
866,CASP8,CASP2,1
867,BCL6,TP53,1
868,CHEK1,MCM2,1
869,RHOA,NET1,1
870,CTNNB1,CCND1,1
871,IL10,CCL2,1
872,HDAC2,EZH2,1
873,DKK1,LRP5,1
874,NUP214,NUP107,1
875,KRT10,KRT5,1
876,KISS1,GNRH1,1
877,HRAS,KRAS,1
878,RHOA,ROCK1,1
879,CDK2,CCND2,1
880,NCOA3,EP300,1
881,EIF4EBP1,RHEB,1
882,POLE,MCM5,1
883,FSHB,FSHR,1
884,PTCH1,GLI1,1
885,LIG4,XRCC6,1
886,ARID1B,ARID1A,1
887,RBL1,CCNA2,1
888,CDK2,MCM4,1
889,ESR1,NCOA2,1
890,ILK,PXN,1
891,PIK3CA,PIK3R2,1
892,CDK2,RBL2,1
893,CXCL1,CXCR2,1
894,RELA,CHUK,1
895,IGF2,IGFBP1,1
896,NRAS,PIK3CA,1
897,TRAF3,BIRC3,1
898,ESR1,PELP1,1
899,XRCC3,BRCA2,1
900,RHOA,ROCK2,1
901,GRB2,ERBB2,1
902,SSTR3,SST,1
903,CDC42,IQGAP1,1
904,CDC25C,CCNA2,1
905,SST,SSTR4,1
906,MDC1,NBN,1
907,IL5,IL2,1
908,HRAS,NRAS,1
909,FANCG,FANCE,1
910,IL10,STAT3,1
911,JUP,CDH1,1
912,EEF1A1,EEF1A2,1
913,SH3KBP1,RPS27A,1
914,SST,SSTR1,1
915,NCOA1,EP300,1
916,FOXO1,SIRT1,1
917,JUN,MAPK14,1
918,FYN,CBL,1
919,CHEK1,TP53,1
920,EPHA3,EFNB1,1
921,GSK3B,AXIN2,1
922,JAK2,EPOR,1
923,BRCA1,ATM,1
924,MAPK8,TP53,1
925,BRCA1,FANCD2,1
926,CCL5,CXCL10,1
927,BRCA1,RBBP8,1
928,PIK3R1,PIK3CB,1
929,IKBKB,NFKB1,1
930,FGFR2,FGF4,1
931,CXCL12,ACKR3,1
932,KDM1A,AR,1
933,SMAD3,SMAD2,1
934,PTHLH,PTH,1
935,ENO1,GAPDH,1
936,CASP3,CYCS,1
937,RAD51C,PALB2,1
938,STAT1,CREBBP,1
939,DSP,DSC2,1
940,BIRC5,CCNB2,1
